,movieId,title,userId,rating
0,1,Toy Story (1995),1,4.0
1,1,Toy Story (1995),5,4.0
2,1,Toy Story (1995),7,4.5
3,1,Toy Story (1995),15,2.5
4,1,Toy Story (1995),17,4.5
5,1,Toy Story (1995),18,3.5
6,1,Toy Story (1995),19,4.0
7,1,Toy Story (1995),21,3.5
8,1,Toy Story (1995),27,3.0
9,1,Toy Story (1995),31,5.0
10,1,Toy Story (1995),32,3.0
11,1,Toy Story (1995),33,3.0
12,1,Toy Story (1995),40,5.0
13,1,Toy Story (1995),43,5.0
14,1,Toy Story (1995),44,3.0
15,1,Toy Story (1995),45,4.0
16,1,Toy Story (1995),46,5.0
17,1,Toy Story (1995),50,3.0
18,1,Toy Story (1995),54,3.0
19,1,Toy Story (1995),57,5.0
20,1,Toy Story (1995),63,5.0
21,1,Toy Story (1995),64,4.0
22,1,Toy Story (1995),66,4.0
23,1,Toy Story (1995),68,2.5
24,1,Toy Story (1995),71,5.0
25,1,Toy Story (1995),73,4.5
26,1,Toy Story (1995),76,0.5
27,1,Toy Story (1995),78,4.0
28,1,Toy Story (1995),82,2.5
29,1,Toy Story (1995),86,4.0
30,1,Toy Story (1995),89,3.0
31,1,Toy Story (1995),90,3.0
32,1,Toy Story (1995),91,4.0
33,1,Toy Story (1995),93,3.0
34,1,Toy Story (1995),96,5.0
35,1,Toy Story (1995),98,4.5
36,1,Toy Story (1995),103,4.0
37,1,Toy Story (1995),107,4.0
38,1,Toy Story (1995),112,3.0
39,1,Toy Story (1995),119,3.5
40,1,Toy Story (1995),121,4.0
41,1,Toy Story (1995),124,4.0
42,1,Toy Story (1995),130,3.0
43,1,Toy Story (1995),132,2.0
44,1,Toy Story (1995),134,3.0
45,1,Toy Story (1995),135,4.0
46,1,Toy Story (1995),137,4.0
47,1,Toy Story (1995),140,3.0
48,1,Toy Story (1995),141,4.0
49,1,Toy Story (1995),144,3.5
50,1,Toy Story (1995),145,5.0
51,1,Toy Story (1995),151,5.0
52,1,Toy Story (1995),153,2.0
53,1,Toy Story (1995),155,3.0
54,1,Toy Story (1995),156,4.0
55,1,Toy Story (1995),159,4.5
56,1,Toy Story (1995),160,4.0
57,1,Toy Story (1995),161,4.0
58,1,Toy Story (1995),166,5.0
59,1,Toy Story (1995),167,3.5
60,1,Toy Story (1995),169,4.5
61,1,Toy Story (1995),171,5.0
62,1,Toy Story (1995),177,5.0
63,1,Toy Story (1995),178,4.0
64,1,Toy Story (1995),179,4.0
65,1,Toy Story (1995),182,4.0
66,1,Toy Story (1995),185,4.0
67,1,Toy Story (1995),186,4.0
68,1,Toy Story (1995),191,4.0
69,1,Toy Story (1995),193,2.0
70,1,Toy Story (1995),200,3.5
71,1,Toy Story (1995),201,5.0
72,1,Toy Story (1995),202,4.0
73,1,Toy Story (1995),206,5.0
74,1,Toy Story (1995),213,3.5
75,1,Toy Story (1995),214,3.0
76,1,Toy Story (1995),216,3.0
77,1,Toy Story (1995),217,4.0
78,1,Toy Story (1995),219,3.5
79,1,Toy Story (1995),220,5.0
80,1,Toy Story (1995),223,3.5
81,1,Toy Story (1995),226,3.5
82,1,Toy Story (1995),229,5.0
83,1,Toy Story (1995),232,3.5
84,1,Toy Story (1995),233,3.0
85,1,Toy Story (1995),234,5.0
86,1,Toy Story (1995),239,4.0
87,1,Toy Story (1995),240,5.0
88,1,Toy Story (1995),247,5.0
89,1,Toy Story (1995),249,4.0
90,1,Toy Story (1995),252,4.5
91,1,Toy Story (1995),254,4.5
92,1,Toy Story (1995),263,4.0
93,1,Toy Story (1995),264,4.0
94,1,Toy Story (1995),266,2.0
95,1,Toy Story (1995),269,5.0
96,1,Toy Story (1995),270,5.0
97,1,Toy Story (1995),273,5.0
98,1,Toy Story (1995),274,4.0
99,1,Toy Story (1995),275,5.0
100,1,Toy Story (1995),276,4.0
101,1,Toy Story (1995),277,4.0
102,1,Toy Story (1995),279,3.0
